Reg no,tt,atd,A,B
2013123001,13,6,6,7
2013123002,8,7,37,8
2013123003,20,5,35,9
2013123004,8,7,33,38
2013123005,13,4,29,26
2013123006,4,8,34,8
2013123007,10,1,29,4
2013123008,8,6,36,47
2013123009,2,6,6,3
2013123010,15,1,47,46
2013123011,2,4,31,22
2013123012,12,10,41,13
2013123013,16,4,33,19
2013123014,11,7,35,20
2013123015,14,5,42,32
2013123016,18,10,38,44
2013123017,17,2,34,6
2013123018,20,6,38,27
2013123019,2,7,7,6
2013123020,2,7,38,20
2013123021,11,2,34,21
2013123022,2,5,23,36
2013123023,4,1,2,32
2013123024,6,5,14,47
2013123025,20,9,3,39
2013123026,10,2,24,22
2013123027,20,2,50,43
2013123028,10,3,13,40
2013123029,1,5,22,50
2013123030,3,9,14,26
2013123031,16,1,15,49
2013123032,18,9,4,24
2013123033,6,2,20,46
2013123034,2,7,44,28
2013123035,7,2,15,18
2013123036,9,8,34,27
2013123037,10,7,41,17
2013123038,10,8,17,26
2013123039,19,1,24,8
2013123040,12,9,10,46
2013123041,15,1,31,36
2013123042,5,4,38,28
2013123043,2,2,37,39
2013123044,6,5,34,28
2013123045,11,4,48,34
2013123046,8,5,5,1
2013123047,7,2,44,21
2013123048,9,7,18,13
2013123049,15,2,42,50
2013123050,3,5,8,17
