Reg no,result
2013123001,76
2013123002,86
2013123003,68
2013123004,88
2013123005,53
2013123006,54
2013123007,62
2013123008,100
2013123009,87
2013123010,84
2013123011,62
2013123012,81
2013123013,57
2013123014,78
2013123015,95
2013123016,74
2013123017,60
2013123018,77
2013123019,79
2013123020,52
2013123021,95
2013123022,89
2013123023,70
2013123024,78
2013123025,93
2013123026,100
2013123027,62
2013123028,57
2013123029,85
2013123030,85
2013123031,94
2013123032,54
2013123033,98
2013123034,60
2013123035,68
2013123036,96
2013123037,72
2013123038,68
2013123039,65
2013123040,80
2013123041,51
2013123042,67
2013123043,54
2013123044,57
2013123045,60
2013123046,65
2013123047,57
2013123048,84
2013123049,96
2013123050,93
